Filename,Duration,File Size,Creation Date,Original Path
Whisper-of-the-Willow.mp3,3:59,5.48 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Whisper-of-the-Willow.mp3
Howling-Cat's-Song.mp3,2:36,3.59 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Howling-Cat's-Song.mp3
Blues-in-the-Moonlit-Nights.mp3,2:51,3.92 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Blues-in-the-Moonlit-Nights.mp3
junkyard-symphony-scraps.mp3,3:11,4.39 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/junkyard-symphony-scraps.mp3
blues-in-the-alley-haunted-strings-nocturnal-notes.mp3,4:00,5.49 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/blues-in-the-alley-haunted-strings-nocturnal-notes.mp3
Rubbish-Love.mp3,3:05,4.26 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Rubbish-Love.mp3
The Raccoon's Revelry.mp3,2:06,2.89 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/The Raccoon's Revelry.mp3
Recycled-Symphony2.mp3,3:02,4.19 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Recycled-Symphony2.mp3
Moonly-Alley-(1).mp3,1:29,2.05 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonly-Alley-(1).mp3
Blues in the Alley Haunted Strings Nocturnal Notes.mp3,4:00,5.50 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Blues in the Alley Haunted Strings Nocturnal Notes.mp3
Marching-Shadows-(Cover).mp3,2:58,4.09 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Marching-Shadows-(Cover).mp3
Junky Symphony.mp3,2:55,4.02 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Junky Symphony.mp3
Beautiful-Mess.mp3,3:15,4.46 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Beautiful-Mess.mp3
Mando-grogu-star-comp_tempTEMP_MPY_wvf_snd.mp3,1:51,1.70 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Mando-grogu-star-comp_tempTEMP_MPY_wvf_snd.mp3
Dumpster Fire Happy Hour backalley-live-punk-ROCK 2.mp3,2:34,5.88 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Dumpster Fire Happy Hour backalley-live-punk-ROCK 2.mp3
Love-in-Imperfection.mp3,3:40,5.05 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Love-in-Imperfection.mp3
in-This-aLLey-Where-i-HiDe.mp3,3:13,4.44 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/in-This-aLLey-Where-i-HiDe.mp3
Heartbeats-in-the-Dark.mp3,4:00,5.50 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Heartbeats-in-the-Dark.mp3
"Love-is-Rubbish,-and-Rubbish-is-Love.mp3",2:44,3.76 MB,10-07-24,"/Volumes/Pics/2025/2025-mp3/trashy/Love-is-Rubbish,-and-Rubbish-is-Love.mp3"
